Bournemouth,Aston Villa,0,1,2,3,0,0
Chelsea,Swansea,2,2,3,10,1,0
Everton,Watford,2,2,5,5,0,0
Leicester,Sunderland,4,2,8,5,0,0
Man United,Tottenham,1,0,1,4,0,0
Norwich,Crystal Palace,1,3,6,7,0,0
Arsenal,West Ham,0,2,6,4,0,0
Newcastle,Southampton,2,2,4,5,0,0
Stoke,Liverpool,0,1,1,3,0,0
West Brom,Man City,0,3,2,7,0,0
Aston Villa,Man United,0,1,1,2,0,0
Southampton,Everton,0,3,4,4,0,0
Sunderland,Norwich,1,3,2,6,0,0
Swansea,Newcastle,2,0,6,2,0,1
Tottenham,Stoke,2,2,7,7,0,0
Watford,West Brom,0,0,5,0,0,0
West Ham,Leicester,1,2,3,6,1,0
Crystal Palace,Arsenal,1,2,4,7,0,0
Man City,Chelsea,3,0,8,3,0,0
Liverpool,Bournemouth,1,0,2,2,0,0
Crystal Palace,Aston Villa,2,1,6,2,0,0
Leicester,Tottenham,1,1,2,6,0,0
Man United,Newcastle,0,0,8,0,0,0
Norwich,Stoke,1,1,7,1,0,0
Sunderland,Swansea,1,1,2,9,0,0
West Ham,Bournemouth,3,4,4,7,1,0
Everton,Man City,0,2,1,9,0,0
Watford,Southampton,0,0,0,5,0,0
West Brom,Chelsea,2,3,6,5,0,1
Arsenal,Liverpool,0,0,5,8,0,0
Aston Villa,Sunderland,2,2,6,3,0,0
Bournemouth,Leicester,1,1,2,2,0,0
Chelsea,Crystal Palace,1,2,9,6,0,0
Liverpool,West Ham,0,3,1,5,1,1
Man City,Watford,2,0,5,0,0,0
Newcastle,Arsenal,0,1,0,9,1,0
Stoke,West Brom,0,1,5,5,2,0
Tottenham,Everton,0,0,6,3,0,0
Southampton,Norwich,3,0,8,1,0,1
Swansea,Man United,2,1,4,4,0,0
Arsenal,Stoke,2,0,12,4,0,0
Crystal Palace,Man City,0,1,2,7,0,0
Everton,Chelsea,3,1,9,2,0,0
Man United,Liverpool,3,1,3,4,0,0
